date,S,E,I1,I2,R,beta
2020-03-03,787963.4431233106,51.216860222998,12.871741848392556,0.0,0.0,5.0004066724327805
2020-03-04,787952.7116863221,58.7691792239043,14.52746188887542,1.16451944887349,0.35947554958976324,4.633830279894119
2020-03-05,787950.1384263205,60.80531042838364,14.559615218238875,1.3748064956774182,0.654082219875742,4.572205402175725
2020-03-06,787932.3317192206,72.29759611125182,17.957518308447785,3.316802927040923,1.62923119312812,3.931668911771663
2020-03-07,787922.614438964,77.74816286728391,20.00225142592551,4.496479451436637,2.671763257853501,3.793866586319162
2020-03-08,787900.8936543065,90.35696791955668,24.37736320472635,7.131056096481689,4.774636932410281,3.2875045575609105
2020-03-09,787876.8322180624,103.0614436836211,29.439672230773596,10.204725938110764,7.996120059618464,2.931702069493968
2020-03-10,787848.7836587077,116.91078679286596,35.24500762021399,13.915530081500274,12.67962267676013,2.6222803233252634
2020-03-11,787807.5980953423,136.60889636701938,43.556930060411204,19.38344759645016,20.38777095708666,2.186877224217942
2020-03-12,787754.8441834399,159.8637098884111,54.14409800080673,26.482584421368237,32.201002881734325,1.7803673042610368
2020-03-13,787689.814850992,186.01999131916443,66.84933706471888,35.35321284198793,49.498390842375024,1.4262910461763838
2020-03-14,787611.0018788307,214.7745443837062,81.60952272495513,46.14002930863215,74.0096492267151,1.1158027841662461
2020-03-15,787523.4266917447,242.7986365791854,97.05796920773835,58.05729745750387,106.19433906456403,0.8994719397362224
2020-03-16,787432.314228715,267.4212680666717,111.85712834448708,70.21775050379753,145.72326393621103,0.764298334008304
2020-03-17,787339.8054041414,287.77604888946956,125.38296814963792,82.1291192644861,192.43822580367691,0.6685449219034038
2020-03-18,787246.3299897192,303.72848725973967,137.43175997412808,93.55223357424562,246.48689748000248,0.5834158788549748
2020-03-19,787154.1528883891,314.5017781186823,147.50454573497228,104.03924033775627,307.32806391578663,0.5112312346937068
2020-03-20,787065.7659524335,319.49558267435225,155.12953797190158,113.13490383687751,373.9973503933719,0.45128587716695423
2020-03-21,786982.7543373166,318.6631027195216,160.059092214246,120.52467040922664,445.51874419256956,0.398791813594175
2020-03-22,786906.3648847269,312.2637879832365,162.1708874745308,125.96489696414254,520.7520840390025,0.35203959165721166
2020-03-23,786837.4349180628,300.85401519161366,161.4818793374593,129.29977753467585,598.4426906305132,0.310302446988066
2020-03-24,786776.3677150877,285.23916836091416,158.1500726780624,130.4734784766855,677.2798885099161,0.273257173858612
2020-03-25,786723.1561255235,266.39494103787433,152.46166977392008,129.53472824136628,755.9603320603363,0.24072864563715332
2020-03-26,786677.4462869498,245.37218780419963,144.80453467628837,126.6320787523569,833.2507007306034,0.21256833226993713
2020-03-27,786638.6261953084,223.20243680362452,135.63203596186756,121.99980509364448,908.0438683120088,0.18859869878896124
2020-03-28,786605.9224626244,200.818390831538,125.4230165704751,115.93623968561455,979.4033415079938,0.16859862746346094
2020-03-29,786578.4909636881,178.99829455711628,114.64375297275014,108.77764524559755,1046.5924205736535,0.15230871398036838
2020-03-30,786555.490588573,158.3379889204529,103.71662976241691,100.87123780428443,1109.0867054119017,0.13945732350496626
2020-03-31,786536.1343440115,139.2491203355152,92.99860670593029,92.5507568648247,1166.5707596835384,0.12979282564989214
2020-04-01,786519.7184991335,121.97674607057063,82.77033538871984,84.11715125168234,1218.9215680066254,0.12310920995497199
2020-04-02,786505.6343020207,106.627875304295,73.23475777884671,75.82570646511881,1266.1825608864735,0.11926126138653083
2020-04-03,786493.3676195848,93.2037706952524,64.52282920768819,67.87968226567219,1308.5323184294825,0.11817347596468142
2020-04-04,786482.4911848279,81.6310892877594,56.70370759935975,60.42959093111254,1346.2517178206626,0.1198417177305018
2020-04-05,786472.6533983325,71.7887183148465,49.79699366398908,53.57673780816032,1379.6925161510799,0.12432143590735904
2020-04-06,786463.5663439153,63.529043541456396,43.78510534823226,47.37949994104757,1409.249412754873,0.1317048871664567
2020-04-07,786454.9943967004,56.69376854243922,38.62455756967122,41.860955935992116,1435.3367107346069,0.14208185882287613
2020-04-08,786446.744538434,51.12458349829566,34.25546863643483,37.01677573956406,1458.3699345347973,0.1554784352268328
2020-04-09,786438.6591027429,46.669265644102005,30.608969780157512,32.822589828903084,1478.752203218884,0.17178059953513083
2020-04-10,786430.6111153349,43.18413008354994,27.612498190203144,29.240340421244106,1496.8647930079628,0.19064806140264065
2020-04-11,786422.5020243739,40.533862823888754,25.19316437271909,26.223363853810195,1513.0611222321393,0.2114428413798897
2020-04-12,786414.2612313633,38.58986419902219,23.27953758117001,23.720155282644626,1527.6633254573158,0.23320481176782512
2020-04-13,786405.8467340149,37.22804345292317,21.802281430153066,21.676924131309967,1540.9606239898894,0.254692920584941
2020-04-14,786397.2462104448,36.32677300885316,20.694068284426056,20.039149859727488,1553.2088167020615,0.2744977342883157
2020-04-15,786388.4776423442,35.765760164974935,19.889176550107344,18.752397516816185,1564.6303722951218,0.2912176926165863
2020-04-16,786379.588343247,35.42661548322133,19.32318130890446,17.762680676630726,1575.4147795128974,0.3036641860834122
2020-04-17,786370.6516384627,35.1953658450665,18.93310127125398,17.016672348865615,1585.7189969649176,0.31103675837924794
2020-04-18,786361.760982666,34.9666379602439,18.658204249122942,16.462031462184882,1595.6680208342407,0.3130353172203927
2020-04-19,786353.0216890081,34.648960765005036,18.4415041053214,16.048032772128764,1605.355727148975,0.30988393516661294
2020-04-20,786344.5411553,34.170136654333646,18.23179726457207,15.72658084014067,1614.8462241076516,0.3022552219066308
