,mse_confirmed-only,ihme,mse_smell-0delay,mse_hh-0delay,naive
13001,16.669808166916113,38.849672534986375,20.084828770913372,19.81717142232066,16.889901024787598
13003,5.237612814901045,9.116378371448759,6.301336979317523,6.259748894760091,5.237277743715512
13005,8.802221722083896,8.81164142707639,8.781352531935111,9.261668240830058,8.755802750284662
13007,0.46184304235804546,2.9628039173776703,0.4632220187593347,0.46787468629671414,0.3987036874835771
13009,53.45599988829043,71.99269480979075,54.5399097811929,55.46166238403607,52.73329245861435
13011,3.0455595301055394,16.03521123070243,3.1689657968020435,3.166440002129668,3.133747919768766
13013,34.21414422882541,161.4168306468306,33.91631840236749,34.00313387721479,36.121573092756414
13015,80.21746187396229,326.88865729702184,80.00205560075278,79.33658593414778,83.32215117806778
13017,11.041297958451704,29.721785085576887,12.66298274986598,12.509866839574519,11.234912849259874
13019,10.957085658457503,14.886232408797403,14.994113678078211,14.834500638962236,11.019707453796972
13021,788.8588256548827,1648.1303937951775,1008.405693158783,996.2654042464737,796.5102916703162
13023,20.983182972759924,20.983182972759924,20.777639751552798,20.983182972759924,12.863186476307263
13025,18.815056455055036,17.19812763693522,20.756562265753928,20.50923168795034,18.67452045195761
13027,3.6912070462038784,5.064457182263285,3.8014337442888673,3.775703904768939,3.9273013926600684
13029,8.784779761354201,35.80719547802548,10.62454421111144,10.538738842444785,9.288604712271175
13031,261.27406142613466,470.1248181811324,350.0674023067873,376.0180839481886,260.07059647893493
13033,43.08033534466958,26.22169054669378,45.28950856636438,44.7881362680779,43.51020408163265
13035,21.205024616757925,13.757207862736939,22.4241208988464,22.138380013303877,21.37400367872471
13037,2.0825281082989866,32.7605936619248,2.101000719533028,2.0798729288809685,1.5786984321625648
13039,11.040608911411931,62.74993510204487,15.062196165032617,14.852141874927291,11.75107296137339
13043,2.1420445072215895,9.461230669126678,3.1687707689834537,3.1634972880151677,2.13935359551546
13045,212.66418078424084,492.7077420002481,230.22171084462695,227.4743050450819,214.51931330472104
13047,16.7047275326126,138.79546887271232,33.36082557001007,32.99272364073885,17.05404221774547
13049,11.741550101960131,27.391946273601548,43.366661658566734,38.07943269996866,11.785845668739599
13051,200.834400621031,2370.250287029162,362.1502631635277,357.75155052985576,214.73373040203202
13053,66.36451929025831,156.56365096275502,144.9616068880003,152.79513086251447,66.35263203994045
13055,9.54473917403618,47.642260779996015,11.747292503445161,13.341816732567253,9.607077165630198
13057,360.42531677613977,2276.8819767522605,416.20227975308205,416.96583519975417,378.3583253043707
13059,1067.208774812482,2026.263792270369,1424.3993969781613,1423.6116600742698,1065.8694928615223
13061,0.4633704316841735,2.7617849174880145,0.4705326925605225,0.46415621322661693,0.44889200315319266
13063,398.8760738272641,815.9394335884715,418.89613819836296,419.98789224015593,408.378733467636
13065,3.7937702301575036,7.025593030942525,5.491821137783569,5.4467668393909285,3.783568362967504
13067,3854.430802983389,11905.800098920565,4250.5261338411865,4198.627463072886,4026.4495051239387
13069,111.34457557331302,89.40621709198474,116.12932058244247,114.62100092203276,112.91766663747045
13071,144.3814307529335,131.61295004770435,152.62880460572623,150.77774482241227,141.33590260138394
13073,308.01094882866977,1056.5753306388049,369.6904071484459,365.6995204365293,315.0771656302006
13075,5.296001440575751,16.375429609691853,6.089015805966354,6.002100748987507,5.396076026977315
13077,495.864752697852,772.8966191323636,561.3209572226914,558.509236296196,499.5911360252255
13079,1.0460497219311442,1.3250015262540096,1.372767711029912,1.3551612550328966,1.0532539195935886
13081,27.79271107786765,52.68992016519805,28.541739364414667,28.199356477509664,26.11579223964263
13083,2.5822151040565626,9.815604877380759,14.5546475575375,14.427626988867374,2.594201629149514
13085,5.743400264118264,25.62665598251712,5.604326065750703,5.89044930224541,6.268371726372954
13087,15.89004957615149,41.055989175857135,17.467354905367717,17.331677426720933,16.462818603836386
13089,2027.3135741959325,5128.753841470951,2185.0843656991638,2152.271134080838,2185.740825085399
13091,39.79477181734832,43.773374110979624,45.01992147502088,44.52057055325868,39.43321362879916
13093,5.019781918522572,27.73527320582538,5.081312715851733,5.070527225568755,4.337917141105369
