,mse_confirmed-only,ihme,mse_smell-0delay,mse_hh-0delay,naive
12001,481.2979213484349,2586.073984803813,497.03437800099647,508.01284154400497,486.2640798808794
12003,220.38066604205486,211.7817662320452,242.15993457304756,239.57786173037778,220.3126040115617
12005,376.7132763989389,2581.341141984857,534.26087612258,529.3155380770357,391.3813611281423
12007,18.617827176752208,16.165570609811475,18.90631762364346,18.742450959549256,18.74178856091793
12009,379.0729803733665,5143.6036306656915,524.3104700561619,521.8308349773439,400.9086450030656
12011,20928.04225171025,120276.53670320468,21209.095624570913,21233.27605358768,30477.997459928178
12013,17.21881291081703,27.136115059134752,19.175788380989314,19.000030806201945,17.29070684067618
12015,53.92595838906454,263.4425631980542,50.24718546436128,50.187706445991694,64.07812910571954
12017,46.41776880463946,444.90696270118696,45.186108381791996,45.840644974155566,51.48165017079793
12019,132.54755137783226,486.21552212155353,118.71030856606644,131.83149199146754,165.4373302969256
12021,558.889425464338,3637.5521191482067,570.6774688920922,570.9363087215196,638.398791276167
12023,346.82498033311396,915.7435647978787,383.7943433517098,379.294021985207,359.83988788648514
12027,124.98504146027805,192.01997932311178,162.3649819030618,135.8178221154423,125.78418148375229
12029,48.88399599493378,53.88675125161233,67.36706376921957,66.92629140276111,48.90190067443287
12031,5259.033344465543,36747.66624632423,5504.161874069673,5449.338388654168,5885.521415433125
12033,1259.8994044076717,5016.477166115708,1324.6011116539623,1308.6885448124992,1383.3899448191294
12035,14.306278747517014,100.72739503809457,15.207332375076522,16.804140846219045,15.676184636944905
12037,54.39336077778751,54.39336077778751,55.02582076308784,54.39336077778751,53.306735569764385
12039,75.89076982573883,256.0084741731043,80.6179589401488,79.93974188435797,81.21573092756415
12041,13.587951294672123,15.262151398263684,14.61484910240544,14.463447117799083,13.720329333450119
12043,17.779714460891654,17.779714460891654,17.995208518189884,17.779714460891654,10.862485766838924
12047,21.245048218495622,27.300592661722124,24.00952008611215,23.71293324795066,21.308136988701058
12049,12.157845171316639,74.90098204383072,41.114787526030135,40.598496624594304,12.160550056932642
12051,20.40486722369741,98.92840556989067,21.463989051800276,21.2454563445452,20.969519138127353
12053,57.89199462499963,495.3644629178599,50.6167453890295,54.97918650993285,64.27634229657528
12055,34.87282173687292,253.6973140107202,36.32805343458159,35.90147009950645,38.82359639134624
12057,6722.244947044037,69316.40216482972,7637.86661305728,7591.416067036222,7231.568450556187
12059,13.596457515833064,42.49623541787786,21.97854457496108,21.92202182901114,13.631076464920731
12061,49.52692287626917,506.3179631207939,62.3841928424218,61.690579287879906,56.18446176753963
12063,137.11746887552198,488.2089175370797,289.68165908542267,286.45395779481237,138.12805465533853
12065,34.203074480252056,21.02333456944983,35.182222955297426,34.76993433940808,35.16887098186914
12067,618.4265054129803,430.21717990920484,725.5377151307877,700.9656773411385,618.0966979066304
12069,246.97303893589276,2079.2437753619665,255.9556826442917,258.87945571676374,271.24796356310765
12071,3200.312711567546,13479.967713445121,3329.241674896403,3304.2903027354905,3479.223613909083
12073,1038.9515583482173,4013.327268187027,923.0416960327109,1080.0608140595634,1078.6298502233512
12075,8.151452218201623,47.5991106207607,10.001710705579471,10.082141044320213,8.554611544188491
12077,28.241892755852266,21.657068517278855,39.42229431984188,31.975384028893792,28.300691950599976
12079,9.175377137526441,37.4369516759684,9.783044708758938,9.751241946309012,9.517649119733731
12081,591.2227255811534,4476.803771677229,633.7420511156014,625.9234368881489,699.1232372777436
12083,879.2846996677977,4966.401609606553,1013.9775487678957,1012.9300269968578,939.1627397740211
12085,169.86251425114543,351.7909218664977,146.54709540184882,176.53445280714254,165.32863274064994
12086,96513.07881732055,365870.4264169754,96917.82160197999,96770.9196593911,144361.98572304458
12087,34.09201517297069,292.29935479334114,36.2614290959559,36.064967518595004,38.318472453359036
12089,25.13650028013839,225.29638555708803,24.67195614945917,26.47378678939856,27.76745204519576
12091,303.205407701473,2050.3473193693276,301.600895146075,298.09708272685646,322.6441271787685
12093,19.197596492646134,101.449949452289,41.919986779759334,41.401759715548046,19.45011824472278
12095,11332.556756268837,69163.11561402661,12961.168499279156,12916.470208466615,11989.49802925462
12097,990.9385795779831,7601.812147723371,996.2662114240591,990.977708709903,1154.689147762109
12099,3672.74249114262,29098.766825368584,3676.2792216631574,3710.711233880235,5518.431199089078
12101,597.1338320221365,5987.158891857498,638.1178829770485,633.6544476266063,637.5903477270738
12103,2148.746029231006,26811.361623580837,2724.1202126660924,2691.936169755987,2234.358675659105
12105,1287.4170794640197,15446.437690228455,1464.9748362844334,1453.554610951898,1444.081895419112
12107,30.763274898372366,86.64064626796083,31.413809667650526,31.077646898108824,34.42655688884996
12109,143.65551646906113,1843.244173059154,153.58831208081676,153.3813912829428,155.839712709118
12111,155.2883541619567,1346.286489410146,155.6665246001267,161.25094579270626,194.32863274064994
12113,400.5602717983325,1111.8624896337617,414.8314967076685,409.55766703164,449.62424454760446
12115,556.1325804182488,3702.6867600607325,589.4041885641337,582.4024889750883,628.0586844179732
12117,675.7569672252328,3919.2377342655027,687.0897981223978,684.1283131313041,698.5779977226942
12119,62.25767201775915,103.33458438329731,62.87387688957958,62.85392832942891,64.0027152491898
12121,514.1390251987474,306.4211722649929,526.2306797157889,519.4373070198632,500.50661294560746
12123,226.9663929577109,226.9119491503721,355.56166088375073,349.6976654042727,227.05001313830257
12125,61.96373828501357,61.96373828501357,67.27775510204081,63.88179519595449,33.44635193133046
12127,616.0641616372341,5979.801198905336,831.7154624778988,824.5508438686255,665.0416046246825
12129,23.240999861078706,88.53901127296125,21.431071533081262,36.12589182619966,23.66103179469212
12131,127.69950577263083,446.9416304174515,164.61503970539283,162.42167191698925,129.3697994219147
12133,44.063599063129104,93.89042995579372,58.63895457529222,50.78699448196915,44.55977927651748
