,mse_confirmed-only,mse_smell-0delay,mse_hh-0delay,naive,ihme
12001,549.069231434449,564.4420127426769,578.2342925245084,558.2087912087912,40167.72549273384
12005,305.6453801784143,494.87989664824346,489.3754274219447,324.23749719668086,14396.362963254871
12009,375.0788782352594,544.3658528764475,541.1120899063517,403.26743664498764,258238.13392405494
12011,20996.381577884535,21952.918084582758,21996.445456214533,33107.09609777977,1815367.290646445
12015,37.84187603810246,39.03397456953243,39.053743881413645,50.76934290199596,25306.355076861244
12017,33.35213225932465,35.627243791609025,36.52179974110231,38.79154518950438,14966.609467207398
12019,136.90214673750833,124.9383683847906,141.54310416989145,175.64229647903116,29528.692544641865
12021,540.4439935710813,580.8874985903105,580.3955313929738,641.7480376766092,83731.07506069308
12031,5288.153299816993,5842.276083715103,5773.699311057227,6081.176496972415,499843.0378906064
12033,1490.2916623378537,1598.9241035401894,1574.1605016783017,1642.4073783359497,47701.97234787294
12035,14.29050188476054,14.711105827654634,16.810042207856124,15.995963220453017,9442.337897337396
12053,44.21999901155927,46.71012962220522,52.35922232969532,52.38472751738058,26056.505427458487
12057,7355.939348492555,9084.673693767385,9000.400640383414,8008.078492935636,1269074.9742467946
12061,47.81699553861806,63.75330031709175,62.987402659483664,56.441803094864326,16737.5244655049
12069,168.17058820836934,215.26042890128292,219.76933066872016,199.17133886521646,87812.87625763202
12071,3460.6515524714246,3734.537298307554,3700.5474565001323,3805.8347163041044,364565.4678850283
12073,1254.100425455354,1129.862880866211,1326.3923906974544,1301.636353442476,43826.13670014793
12081,600.3193252316338,674.9154716215859,664.2311572541739,735.5347611572101,94234.95371739687
12083,997.9517872064225,1215.7186858219454,1210.5452919431289,1072.083875308365,75076.22252355314
12085,208.0640002197537,180.28480451688029,218.11336738146434,201.87766315317342,16187.762003902964
12086,97381.57014564051,100031.13962726288,99344.95872434133,156108.5473200269,2297326.8182965303
12091,226.153198009718,245.58325278099446,241.5735012920175,249.59643417806686,26404.853174006228
12095,11474.443444487913,13242.585479874495,13184.704651196114,12255.435299394483,1131430.4379214752
12097,891.5923044348572,983.2012498441679,976.3552195170248,1096.5731105629065,71857.54550476135
12099,3176.4348801633846,3393.598070957215,3438.434201720207,5521.903453689168,1293069.2998692323
12101,500.12490172926266,685.7819997616176,680.6352955771782,548.8859609777978,213823.09208497315
12103,2028.054709181546,3022.419535487615,2976.7519896686467,2132.791993720565,617976.401959003
12105,1196.0581886576742,1580.6669669558394,1562.5768998645021,1395.7032967032967,303327.4903308395
12109,119.1626100284489,151.50827408951406,151.34534163788155,134.3172235927338,45687.956824033994
12111,151.74037677502275,167.00417512431866,173.67872215716517,202.5352096882709,66235.05115108099
12113,452.6802759782801,485.0586611949101,477.0373823555369,513.9651267100245,18406.094895916063
12115,446.0914853162459,505.90633800940566,497.4550825153834,530.1463332585781,125539.23876749932
12117,451.6310478442695,564.9625128182424,562.738697293323,482.8019735366674,152943.04813031628
12127,496.5332887310709,758.1539415927953,750.9032509317319,557.7442251625926,202100.12345955984
